playername,mvpr,marketvaluepound,season,age,lgrank,MP,starts,min,goal,assist,sh,sot,sotp,gsh,cmp,cmpp,crs,int,block,sca,passlive,drib,gca,gcapasslive,tkl,press,pressp,touches,succp,targ,rec,recp,miscon,fls,recov,aerialwonp
Alireza Jahanbakhsh,"13,594,718",13500000,2019,24,17th,19,12,"1,020",0,0,22,7,31.8,0,210,68.6,23,3,,18,11,1,3,0,39,215,24.2,480,42.5,422,298,70.6,32,19,87,36.4
Alireza Jahanbakhsh,"5,896,936",5850000,2020,25,15th,10,3,311,2,0,11,2,18.2,0.18,84,60,24,4,,8,5,1,1,0,7,51,39.2,194,53.8,180,142,78.9,6,2,32,0
Allan Saint-Maximin,"8,121,870",8100000,2017,19,20th,34,30,"2,696",3,3,69,26,37.7,0.04,,,109,,,,,,,,,,,,,,,,,20,,
Allan Saint-Maximin,"18,093,722",18000000,2018,20,8th,31,26,"2,253",3,5,39,16,41,0.08,668,73.9,69,39,,89,68,13,11,9,16,234,27.4,1238,60.8,1157,980,84.7,67,8,119,55.6
Allan Saint-Maximin,"22,657,863",22500000,2019,21,7th,34,34,"2,900",5,3,73,17,23.3,0.05,718,74.1,81,21,,143,76,35,11,6,11,321,22.1,1466,64.1,1624,1181,72.7,117,12,176,44.4
Allan Saint-Maximin,"25,402,188",25200000,2020,22,13th,26,23,"1,863",3,4,46,20,43.5,0.07,356,72.7,44,12,,87,52,22,9,6,17,251,24.7,795,67.5,773,584,75.5,53,18,135,25.9
Álvaro Morata,"58,804,595",58500000,2018,24,5th,31,24,"2,061",11,6,83,33,39.8,0,406,70.9,20,25,28,81,55,10,10,8,9,268,23.5,930,47.6,1167,725,62.1,73,41,83,37.3
Álvaro Morata,"45,315,725",45000000,2019,25,2nd,31,24,"2,024",11,1,61,30,53.8,0,350,63.9,10,10,21,50,32,6,6,4,22,433,26.6,770,62.5,1100,600,51.4,56,48,69,50
Álvaro Morata,"32,659,955",32400000,2020,26,3rd,34,25,"2,098",12,2,64,27,42.2,2,335,66.9,11,4,20,55,41,4,5,4,19,328,25.9,850,57.6,1132,637,56.3,83,54,109,54
Amine Harit,"4,512,150",4500000,2017,19,7th,30,23,"2,184",1,1,13.3,1.24,0.03,0,,,41,,,,,,,,,,,,,,,,,22,,
Amine Harit,"4,523,430",4500000,2018,20,2nd,31,23,"2,043",3,3,36,1.1,0.08,1,624,81.1,25,16,,88,60,9,14,4,28,528,28.8,1117,67,1026,824,80.3,65,19,181,42.9
Amine Harit,"9,063,145",9000000,2019,21,14th,18,12,"1,082",1,1,38.5,1.08,0.08,0,355,79.8,3,17,,42,27,2,2,1,14,205,22.4,605,73.1,539,451,83.7,19,11,91,28.6
Amine Harit,"7,257,768",7200000,2020,22,12th,25,24,"2,102",6,4,40.7,1.16,0.19,1,754,82.9,22,19,,86,66,3,10,7,16,371,29.6,1213,65.6,1205,952,79,59,19,159,22.6
Amir Abrashi,"2,256,075",2250000,2017,26,7th,20,16,"1,320",1,0,44.4,0.61,0.11,0,,,2,,,,,,,,,,,,,,,,,34,,
Amir Abrashi,"1,357,029",1350000,2018,27,15th,12,11,850,0,0,0,0.53,0,0,260,77.6,5,8,,12,10,0,1,1,37,215,26.5,471,45.5,266,230,86.5,9,20,137,52.5
Amir Abrashi,"1,812,629",1800000,2019,28,13th,10,9,790,0,0,28.6,0.8,0,0,333,86.7,2,4,,4,4,0,0,0,19,202,23.8,463,85.7,291,277,95.2,1,19,117,45.5
Amir Abrashi,"1,451,554",1440000,2020,29,8th,13,8,663,0,0,40,0.68,0,0,298,87.1,7,5,,10,8,1,0,0,23,164,25.6,438,63.6,288,261,90.6,9,17,86,54.5
Andre Gray,"13,570,291",13500000,2018,26,14th,31,16,"1,498",5,2,35,13,37.1,0.14,214,70.6,9,14,,22,20,0,3,2,0,186,25.3,467,35.3,631,351,55.6,54,11,52,33.3
Andre Gray,"13,594,718",13500000,2019,27,11th,29,13,"1,366",7,2,37,15,40.5,0.19,171,67.1,8,8,,34,25,2,6,5,3,189,22.2,415,54.5,688,325,47.2,51,12,49,20.4
Andre Gray,"6,350,547",6300000,2020,28,19th,23,7,755,2,0,19,6,31.6,0.11,102,65.8,5,6,,14,11,1,1,0,5,161,26.7,239,46.2,392,181,46.2,29,10,38,29.8
André Hahn,"3,158,505",3150000,2017,25,9th,30,18,"1,602",3,1,34.3,1.97,0.09,0,,,35,,,,,,,,,,,,,,,,,41,,
André Hahn,"3,166,401",3150000,2018,26,17th,23,14,"1,358",3,0,39,2.72,0.07,0,207,54.3,38,9,,21,13,2,2,1,25,407,23.6,613,37.5,666,396,59.5,48,38,90,44.5
André Hahn,"2,718,944",2700000,2019,27,15th,28,21,"2,052",4,4,38.9,1.58,0.11,0,304,55.2,82,19,,46,34,2,6,4,53,612,24.8,844,47.8,846,538,63.6,50,67,130,47.6
André Hahn,"1,814,442",1800000,2020,28,15th,15,8,702,1,0,26.7,1.92,0.07,0,102,55.7,15,3,,15,12,2,0,0,15,252,25.4,322,66.7,318,180,56.6,23,24,57,58.7
André Silva,"27,140,582",27000000,2018,21,6th,24,7,940,2,1,30.3,3.16,0.06,0,222,75,6,6,,40,35,3,1,1,8,219,23.3,445,51.7,492,340,69.1,37,20,58,31.6
André Silva,"27,140,582",27000000,2018,21,6th,24,7,940,2,1,30.3,3.16,0.06,0,222,75,6,6,,40,35,3,1,1,8,219,23.3,445,51.7,492,340,69.1,37,20,58,31.6
André Silva,"19,938,919",19800000,2019,22,6th,27,25,"2,159",9,0,41,2.54,0.15,0,399,72.5,11,20,,58,45,6,6,3,9,371,24.8,838,36.2,1237,614,49.6,55,42,110,36.9
André Silva,"18,126,290",18000000,2019,22,6th,27,25,"2,159",9,0,41,2.54,0.15,0,399,72.5,11,20,,58,45,6,6,3,9,371,24.8,838,36.2,1237,614,49.6,55,42,110,36.9
André Silva,"21,773,304",21600000,2020,23,9th,26,17,"1,635",12,3,40.7,3.09,0.2,1,346,70.4,11,10,,56,41,6,7,3,10,270,36.3,725,51.4,1110,549,54.4,55,15,90,41.9
André Silva,"21,773,304",21600000,2020,23,9th,26,17,"1,635",12,3,40.7,3.09,0.2,1,346,70.4,11,10,,56,41,6,7,3,10,285,36.3,745,51.4,1110,549,54.4,55,15,90,41.9
Andrea Belotti,"27,072,900",27000000,2017,22,9th,35,34,"3,070",26,7,37.4,3.84,0.18,2,,,24,,,,,,,,,,,,,,,,,77,,
Andrea Belotti,"34,378,071",34200000,2018,23,9th,32,29,"2,683",10,5,32.6,2.88,0.12,0,441,72.3,10,13,,80,48,5,16,9,33,505,26.1,1038,55.1,1357,772,56.9,87,56,124,42.4
Andrea Belotti,"31,721,008",31500000,2019,24,7th,37,37,"3,299",15,3,33.9,3.38,0.08,5,529,65.4,24,23,,98,64,7,7,4,28,505,25.9,1386,48.9,1763,1025,58.1,99,72,188,46.4
Andrea Belotti,"36,288,839",36000000,2020,25,16th,35,33,"2,918",16,3,34.4,2.87,0.1,7,486,66.9,46,14,,89,60,8,11,6,33,448,23,1195,50.7,1466,874,59.6,78,64,138,46.9
Andrea Favilli,"5,880,459",5850000,2018,20,18th,12,12,986,5,1,60,2.65,0,0,37,74,1,0,,4,4,0,1,1,0,30,33.3,70,33.3,91,53,58.2,4,7,9,83.3
Andrea Favilli,"5,437,887",5400000,2019,21,17th,6,0,170,0,2,21.4,1.91,0,0,141,73.1,1,9,,12,10,0,0,0,7,110,20,293,54.5,387,227,58.7,28,28,23,41.5
Andrea Petagna,"8,121,870",8100000,2017,21,4th,34,31,"2,614",5,7,40.3,2.31,0.07,0,,,12,,,,,,,,,,,,,,,,,57,,
Andrea Petagna,"9,046,861",9000000,2018,22,7th,29,22,"1,618",4,5,35.6,2.5,0.09,0,385,73.5,21,9,,53,42,2,11,8,10,239,25.5,823,60,967,641,66.3,72,25,81,42.1
Andrea Petagna,"18,126,290",18000000,2019,23,13th,36,35,"3,031",16,1,43.4,2.46,0.12,6,590,75.8,32,18,,68,56,4,7,6,17,318,21.7,1189,53.8,1384,930,67.2,85,44,125,35.4
Andrea Petagna,"13,154,704",13050000,2020,24,20th,36,33,"3,032",12,1,24,3.09,0.07,5,644,73.5,33,14,,86,68,7,1,1,7,265,22.3,1319,63.7,1582,1058,66.9,85,54,126,41.1
Andrea Pinamonti,"3,618,744",3600000,2018,18,4th,1,0,14,0,0,0,6.43,0,0,4,100,0,0,,0,0,0,0,0,0,1,100,6,0,9,5,55.6,0,0,0,
Andrea Pinamonti,"13,594,718",13500000,2019,19,19th,27,17,"1,625",5,3,27.6,3.21,0.09,0,299,72.9,11,12,,38,30,3,8,6,15,487,20.5,630,53.3,906,467,51.5,43,30,79,31.7
Andrea Pinamonti,"12,247,483",12150000,2020,20,17th,31,23,"2,227",5,1,31.4,2.06,0.08,1,439,70.5,22,9,,42,25,3,5,2,21,486,20.4,936,47.7,1144,671,58.7,59,37,116,38.6
Andreas Cornelius,"2,714,058",2700000,2018,24,7th,23,8,934,3,1,31.4,3.37,0.09,0,213,70.1,11,4,,33,23,3,2,1,8,155,28.4,468,61.5,648,373,57.6,42,19,43,49.1
Andreas Pereira,"4,512,150",4500000,2017,20,20th,35,34,"2,810",5,3,75,25,33.3,0.07,,,158,,,,,,,,,,,,,,,,,46,,
Andreas Pereira,"7,237,489",7200000,2018,21,4th,23,12,"1,083",1,3,13,5,38.5,0.08,272,64.8,65,6,,37,28,2,5,5,18,318,23.6,576,63.3,497,401,80.7,32,22,86,42.9
Andreas Pereira,"18,126,290",18000000,2019,22,6th,16,7,650,1,1,8,2,25,0.13,297,82.5,13,5,,20,16,2,2,1,8,165,24.2,430,66.7,345,308,89.3,7,12,69,20
Andreas Pereira,"14,515,536",14400000,2020,23,3rd,25,18,"1,484",1,3,37,14,37.8,0.03,566,73.5,62,22,,57,44,3,7,6,22,429,26.6,990,52.6,879,715,81.3,41,26,120,32.5
Andrej Kramarić,"13,536,450",13500000,2017,25,4th,34,28,"2,364",15,8,36.4,3.77,0.1,5,,,46,,,,,,,,,,,,,,,,,12,,
Andrej Kramarić,"31,664,013",31500000,2018,26,3rd,34,22,"2,228",13,6,39.8,3.35,0.13,2,668,72.5,141,19,,88,53,9,12,8,5,363,20.7,1193,59.3,1198,891,74.4,49,10,128,30.4
Andrej Kramarić,"34,439,951",34200000,2019,27,9th,30,28,"2,396",17,4,37.6,3.79,0.12,5,829,76.9,92,17,,117,74,14,10,9,16,385,23.1,1381,61.2,1337,1019,76.2,53,8,179,14.3
Andrej Kramarić,"27,670,240",27450000,2020,28,6th,19,14,"1,422",12,2,50,2.53,0.25,2,445,80.3,27,13,,51,31,5,10,6,3,229,28.4,719,72.2,766,562,73.4,26,6,78,29.6
Andriy Yarmolenko,"18,093,722",18000000,2018,27,4th,18,13,"1,039",3,3,30,11,36.7,0.1,331,73.7,46,6,,50,37,4,7,5,13,169,27.2,593,59.5,637,460,72.2,26,19,71,45
Andriy Yarmolenko,"13,594,718",13500000,2019,28,10th,9,5,459,2,0,9,3,33.3,0.22,168,78.5,10,4,,12,11,0,1,0,2,91,23.1,268,57.1,298,215,72.1,13,8,32,0
Andriy Yarmolenko,"10,886,652",10800000,2020,29,16th,23,10,991,5,1,26,12,46.2,0.19,338,79.7,19,7,,35,29,3,6,4,15,167,27.5,545,62.5,572,418,73.1,24,16,71,33.3
Andy Carroll,"9,046,861",9000000,2018,28,13th,16,7,751,3,0,28,7,25,0.11,144,59.3,10,5,,16,9,2,1,0,4,84,20.2,337,80,407,249,61.2,14,28,38,60
Andy Carroll,"7,250,516",7200000,2019,29,10th,12,3,461,0,0,14,6,42.9,0,86,65.6,2,2,,12,8,1,0,0,2,91,12.1,197,42.9,273,143,52.4,14,11,25,51.7
Andy Carroll,"3,628,884",3600000,2020,30,13th,19,4,632,0,4,15,3,20,0,134,64.7,5,2,,20,19,0,7,7,7,82,31.7,320,62.5,403,232,57.6,28,17,43,56.1
Andy Delort,"3,618,744",3600000,2018,25,18th,32,25,"2,334",5,4,73,20,27.4,1,449,57,110,29,37,72,47,3,8,6,15,263,24,1118,43.8,1342,825,61.5,85,63,102,47.4
Andy Delort,"11,328,931",11250000,2019,26,6th,36,36,"3,115",14,7,112,31,27.7,3,694,58,138,25,91,103,77,12,8,8,34,490,22.2,1688,60.6,1949,1270,65.2,117,91,198,44.3
Andy Delort,"11,793,873",11700000,2020,27,8th,26,26,"2,280",9,3,83,28,33.7,0,451,59,90,23,46,80,48,9,10,3,32,347,29.7,1117,37.8,1344,837,62.3,78,69,118,45.4
Ángel Correa,"21,712,466",21600000,2018,22,2nd,37,27,"2,240",8,5,48,25,52.1,0,646,72,32,30,48,70,44,10,12,7,37,559,29.3,1336,57.3,1245,957,76.9,95,44,201,22.7
Ángel Correa,"31,721,008",31500000,2019,23,2nd,36,20,"1,919",3,2,32,11,34.4,0,566,73.9,34,19,48,79,59,7,12,10,38,579,25,1102,58.6,1100,788,71.6,54,38,164,42.9
Ángel Correa,"29,031,071",28800000,2020,24,3rd,33,22,"2,061",5,6,44,17,38.6,0,454,75.3,35,10,20,64,51,6,10,8,23,410,30,942,55.4,917,666,72.6,79,26,147,30.2
Ángel Di María,"36,187,443",36000000,2018,29,1st,30,26,"2,108",11,7,98,39,39.8,0,906,71.7,176,47,64,107,74,6,13,10,11,243,28,1532,51.3,1409,1184,84,43,7,113,0
Ángel Di María,"36,252,580",36000000,2019,30,1st,30,28,"2,324",12,11,97,32,33,0,1068,73.3,151,41,60,109,71,14,23,14,24,609,27.3,1766,58.7,1614,1363,84.4,52,11,165,0
Ángel Di María,"29,031,071",28800000,2020,31,1st,26,23,"2,000",8,14,73,22,30.1,1,940,72.9,162,30,55,136,98,9,25,17,21,410,25.4,1593,52.9,1407,1235,87.8,47,12,142,20
Ángel Rodríguez,"3,618,744",3600000,2018,30,8th,33,26,"2,288",13,3,70,29,41.4,0,262,65.3,19,14,25,41,26,6,7,3,19,549,24.4,705,43.6,1044,517,49.5,76,49,75,27.3
